"","Field ID","Species","Visit ID","Q1","Q1FC","Q2","Q2FC","Q3","Q3FC","Q4","Q4FC","Q5","Q5FC","Q6","Q6FC","Q7","Q7FC","Q8","Q8FC","Q9","Q9FC","Q10","Q10FC","Transect","Date","Observer","Surrounding Landscape","Notes","Coefficient of Conservatism","Common Name","Region","Field acres","County","Planted Date","Planting method","# of species planted","Pure Live Seed lbs/acre","Previous cover","Seed Vendor","Established"
"1","Antelope11001","Phleum pratense","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","*","timothy","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"2","Antelope11001","Bare Ground","SP1Fulton1.9",1,NA,3,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail",NA,NA,"NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"3","Antelope11001","Rudbeckia hirta","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","4","black-eyed Susan","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"4","Antelope11001","Chamaecrista fasciculata","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","1","showy partridge-pea","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"5","Antelope11001","Achillea millefolium","SP2Fulton1.9",3,NA,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","2","western yarrow","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"6","Antelope11001","Litter","SP1Fulton1.9",5,NA,3,NA,2,NA,1,NA,6,NA,6,NA,6,NA,6,NA,1,NA,1,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail",NA,NA,"NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"7","Antelope11001","Pascopyrum smithii","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","3","western wheatgrass","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"8","Antelope11001","Cirsium arvense","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","*","Canada thistle","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"9","Antelope11001","Monarda fistulosa","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","4","wild-bergamot","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"10","Antelope11001","Festuca octoflora","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","3","six-weeks fescue","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"11","Antelope11001","Ulmus americana","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","3","American elm","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
