"SequenceID","FieldID","Species","VisitID","Transect","VisitDate","CoEOfConsvm","PlantedDate","SeedVendor","Quadrant","CoverValue"
"3","Antelope11001","Rudbeckia hirta","SP2Fulton1.9",2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"4","Antelope11001","Chamaecrista fasciculata","SP2Fulton1.9",2,2018-06-05,"1",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"5","Antelope11001","Achillea millefolium","SP2Fulton1.9",2,2018-06-05,"2",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"7","Antelope11001","Pascopyrum smithii","SP2Fulton1.9",2,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"9","Antelope11001","Monarda fistulosa","SP1Fulton1.9",1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"10","Antelope11001","Festuca octoflora","SP1Fulton1.9",1,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"11","Antelope11001","Ulmus americana","SP2Fulton1.9",2,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"13","Antelope11001","Plantago patagonica","SP1Fulton1.9",1,2018-06-05,"1",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"14","Antelope11001","Koeleria macrantha","SP1Fulton1.9",1,2018-06-05,"6",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"16","Antelope11001","Achillea millefolium","SP1Fulton1.9",1,2018-06-05,"2",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"17","Antelope11001","Andropogon gerardii","SP2Fulton1.9",2,2018-06-05,"5",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"21","Antelope11001","Schizachyrium scoparium","SP1Fulton1.9",1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"24","Antelope11001","Conyza canadensis","SP2Fulton1.9",2,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"26","Antelope11001","Conyza canadensis","SP1Fulton1.9",1,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"27","Antelope11001","Heliopsis helianthoides","SP1Fulton1.9",1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"28","Antelope11001","Helianthus maximiliani","SP2Fulton1.9",2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"29","Antelope11001","Andropogon gerardii","SP1Fulton1.9",1,2018-06-05,"5",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"30","Antelope11001","Lepidium densiflorum","SP1Fulton1.9",1,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"31","Antelope11001","Schizachyrium scoparium","SP2Fulton1.9",2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"32","Antelope11001","Pascopyrum smithii","SP1Fulton1.9",1,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"34","Antelope11001","Rudbeckia hirta","SP1Fulton1.9",1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1FC",NA
"36","Antelope11002","Achillea millefolium","SP2Fulton",2,2018-06-05,"2",2015-05-09,"The Seed House","Q1FC",NA
"40","Antelope11002","Heliopsis helianthoides","SP2Fulton",2,2018-06-05,"4",2015-05-09,"The Seed House","Q1FC",NA
"48","Antelope11002","Helianthus maximiliani","SP2Fulton",2,2018-06-05,"4",2015-05-09,"The Seed House","Q1FC",NA
"51","Antelope11002","Achillea millefolium","SP1Fulton",1,2018-06-05,"2",2015-05-09,"The Seed House","Q1FC",NA
"53","Antelope11005","Andropogon gerardii","SP1Knievel",1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"55","Antelope11005","Lepidium densiflorum","SP1Knievel",1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"56","Antelope11005","Achillea millefolium","SP1Knievel",1,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"58","Antelope11005","Conyza canadensis","SP1Knievel",1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"59","Antelope11005","Achillea millefolium","SP2Knievel",2,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF","Q1FC",1
"60","Antelope11005","Eragrostis trichodes","SP1Knievel",1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"61","Antelope11005","Lespedeza capitata","SP2Knievel",2,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"62","Antelope11005","Ratibida pinnata","SP1Knievel",1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"63","Antelope11005","Potentilla arguta","SP1Knievel",1,2018-06-06,"6",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"64","Antelope11005","Ambrosia trifida","SP2Knievel",2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"65","Antelope11005","Oenothera biennis","SP2Knievel",2,2018-06-06,"1",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"66","Antelope11005","Rudbeckia hirta","SP2Knievel",2,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"67","Antelope11005","Cynanchum laeve","SP2Knievel",2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"68","Antelope11005","Ambrosia trifida","SP1Knievel",1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"69","Antelope11005","Schizachyrium scoparium","SP2Knievel",2,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"70","Antelope11005","Sorghastrum nutans","SP2Knievel",2,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"71","Antelope11005","Elymus canadensis","SP1Knievel",1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"72","Antelope11005","Oxalis stricta","SP1Knievel",1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"73","Antelope11005","Oxalis stricta","SP2Knievel",2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"74","Antelope11005","Schizachyrium scoparium","SP1Knievel",1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"78","Antelope11005","Pascopyrum smithii","SP1Knievel",1,2018-06-06,"3",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"79","Antelope11005","Oenothera rhombipetala","SP1Knievel",1,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"83","Antelope11005","Chloris verticillata","SP2Knievel",2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"84","Antelope11005","Rudbeckia hirta","SP1Knievel",1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"85","Antelope11005","Sorghastrum nutans","SP1Knievel",1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"86","Antelope11005","Carex brevior","SP1Knievel",1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
"87","Antelope11005","Conyza canadensis","SP2Knievel",2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1FC",NA
