"SequenceID","FieldID","Species","VisitID","Transect","VisitDate","CoEOfConsvm","PlantedDate","SeedVendor","Quadrant","CoverValue"
"3","Antelope11001","Rudbeckia hirta","SP2Fulton1.9",2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"4","Antelope11001","Chamaecrista fasciculata","SP2Fulton1.9",2,2018-06-05,"1",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"5","Antelope11001","Achillea millefolium","SP2Fulton1.9",2,2018-06-05,"2",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",3
"7","Antelope11001","Pascopyrum smithii","SP2Fulton1.9",2,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"9","Antelope11001","Monarda fistulosa","SP1Fulton1.9",1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"10","Antelope11001","Festuca octoflora","SP1Fulton1.9",1,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"11","Antelope11001","Ulmus americana","SP2Fulton1.9",2,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"13","Antelope11001","Plantago patagonica","SP1Fulton1.9",1,2018-06-05,"1",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"14","Antelope11001","Koeleria macrantha","SP1Fulton1.9",1,2018-06-05,"6",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"16","Antelope11001","Achillea millefolium","SP1Fulton1.9",1,2018-06-05,"2",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"17","Antelope11001","Andropogon gerardii","SP2Fulton1.9",2,2018-06-05,"5",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"21","Antelope11001","Schizachyrium scoparium","SP1Fulton1.9",1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",3
"24","Antelope11001","Conyza canadensis","SP2Fulton1.9",2,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"26","Antelope11001","Conyza canadensis","SP1Fulton1.9",1,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",2
"27","Antelope11001","Heliopsis helianthoides","SP1Fulton1.9",1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"28","Antelope11001","Helianthus maximiliani","SP2Fulton1.9",2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"29","Antelope11001","Andropogon gerardii","SP1Fulton1.9",1,2018-06-05,"5",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"30","Antelope11001","Lepidium densiflorum","SP1Fulton1.9",1,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"31","Antelope11001","Schizachyrium scoparium","SP2Fulton1.9",2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"32","Antelope11001","Pascopyrum smithii","SP1Fulton1.9",1,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",NA
"34","Antelope11001","Rudbeckia hirta","SP1Fulton1.9",1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Q1",1
"36","Antelope11002","Achillea millefolium","SP2Fulton",2,2018-06-05,"2",2015-05-09,"The Seed House","Q1",NA
"40","Antelope11002","Heliopsis helianthoides","SP2Fulton",2,2018-06-05,"4",2015-05-09,"The Seed House","Q1",1
"48","Antelope11002","Helianthus maximiliani","SP2Fulton",2,2018-06-05,"4",2015-05-09,"The Seed House","Q1",NA
"51","Antelope11002","Achillea millefolium","SP1Fulton",1,2018-06-05,"2",2015-05-09,"The Seed House","Q1",NA
"53","Antelope11005","Andropogon gerardii","SP1Knievel",1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"55","Antelope11005","Lepidium densiflorum","SP1Knievel",1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"56","Antelope11005","Achillea millefolium","SP1Knievel",1,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"58","Antelope11005","Conyza canadensis","SP1Knievel",1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1",2
"59","Antelope11005","Achillea millefolium","SP2Knievel",2,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF","Q1",2
"60","Antelope11005","Eragrostis trichodes","SP1Knievel",1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"61","Antelope11005","Lespedeza capitata","SP2Knievel",2,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"62","Antelope11005","Ratibida pinnata","SP1Knievel",1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"63","Antelope11005","Potentilla arguta","SP1Knievel",1,2018-06-06,"6",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"64","Antelope11005","Ambrosia trifida","SP2Knievel",2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"65","Antelope11005","Oenothera biennis","SP2Knievel",2,2018-06-06,"1",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"66","Antelope11005","Rudbeckia hirta","SP2Knievel",2,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"67","Antelope11005","Cynanchum laeve","SP2Knievel",2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"68","Antelope11005","Ambrosia trifida","SP1Knievel",1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"69","Antelope11005","Schizachyrium scoparium","SP2Knievel",2,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"70","Antelope11005","Sorghastrum nutans","SP2Knievel",2,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"71","Antelope11005","Elymus canadensis","SP1Knievel",1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"72","Antelope11005","Oxalis stricta","SP1Knievel",1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"73","Antelope11005","Oxalis stricta","SP2Knievel",2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"74","Antelope11005","Schizachyrium scoparium","SP1Knievel",1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"78","Antelope11005","Pascopyrum smithii","SP1Knievel",1,2018-06-06,"3",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"79","Antelope11005","Oenothera rhombipetala","SP1Knievel",1,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"83","Antelope11005","Chloris verticillata","SP2Knievel",2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"84","Antelope11005","Rudbeckia hirta","SP1Knievel",1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"85","Antelope11005","Sorghastrum nutans","SP1Knievel",1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"86","Antelope11005","Carex brevior","SP1Knievel",1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"87","Antelope11005","Conyza canadensis","SP2Knievel",2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Q1",1
"88","Antelope11005","Eragrostis trichodes","SP2Knievel",2,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Q1",NA
"92","Antelope11025A","Ambrosia artemisiifolia","SP2Pellatz",2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf","Q1",NA
"93","Antelope11025A","Oenothera laciniata","SP2Pellatz",2,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf","Q1",NA
"95","Antelope11025A","Plantago patagonica","SP1Pellatz",1,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf","Q1",NA
"96","Antelope11025A","Physalis virginiana","SP2Pellatz",2,2018-06-06,"6",2015-05-31,"Kaup Forage and Turf","Q1",NA
"97","Antelope11025A","Conyza canadensis","SP2Pellatz",2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf","Q1",2
"98","Antelope11025A","Schizachyrium scoparium","SP1Pellatz",1,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf","Q1",NA
"99","Antelope11025A","Chamaecrista fasciculata","SP1Pellatz",1,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf","Q1",1
"100","Antelope11025A","Triodanis perfoliata","SP2Pellatz",2,2018-06-06,"2",2015-05-31,"Kaup Forage and Turf","Q1",NA
"102","Antelope11025A","Euphorbia dentata","SP2Pellatz",2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf","Q1",NA
"103","Antelope11025A","Andropogon gerardii","SP1Pellatz",1,2018-06-06,"5",2015-05-31,"Kaup Forage and Turf","Q1",NA
"106","Antelope11025A","Chloris verticillata","SP2Pellatz",2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf","Q1",1
"108","Antelope11025A","Schizachyrium scoparium","SP2Pellatz",2,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf","Q1",NA
"109","Antelope11025A","Cyperus schwinitzii","SP1Pellatz",1,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf","Q1",NA
"110","Antelope11025A","Heterotheca subaxillaris","SP1Pellatz",1,2018-06-06,"2",2015-05-31,"Kaup Forage and Turf","Q1",3
"112","Antelope11025A","Juniperus virginiana","SP1Pellatz",1,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf","Q1",1
"113","Antelope11025A","Lepidium densiflorum","SP1Pellatz",1,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf","Q1",NA
"114","Antelope11025A","Lepidium densiflorum","SP2Pellatz",2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf","Q1",1
"115","Antelope11025A","Oxalis stricta","SP2Pellatz",2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf","Q1",NA
"119","Antelope11025B","Ambrosia artemisiifolia","SP2Pellatz5.8",2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",4
"120","Antelope11025B","Oenothera biennis","SP1Pellatz5.8",1,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",3
"121","Antelope11025B","Conyza canadensis","SP1Pellatz5.8",1,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"122","Antelope11025B","Schizachyrium scoparium","SP1Pellatz5.8",1,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",1
"123","Antelope11025B","Schizachyrium scoparium","SP2Pellatz5.8",2,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"124","Antelope11025B","Festuca octoflora","SP2Pellatz5.8",2,2018-06-06,"3",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"125","Antelope11025B","Heterotheca subaxillaris","SP2Pellatz5.8",2,2018-06-06,"2",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",2
"126","Antelope11025B","Eragrostis trichodes","SP2Pellatz5.8",2,2018-06-06,"5",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"128","Antelope11025B","Chamaecrista fasciculata","SP1Pellatz5.8",1,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"130","Antelope11025B","Ambrosia psilostachya","SP2Pellatz5.8",2,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"131","Antelope11025B","Conyza canadensis","SP2Pellatz5.8",2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"134","Antelope11025B","Monarda fistulosa","SP2Pellatz5.8",2,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"135","Antelope11025B","Oxalis stricta","SP2Pellatz5.8",2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"136","Antelope11025B","Heterotheca subaxillaris","SP1Pellatz5.8",1,2018-06-06,"2",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"137","Antelope11025B","Eragrostis trichodes","SP1Pellatz5.8",1,2018-06-06,"5",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"138","Antelope11025B","Carex brevior","SP1Pellatz5.8",1,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",1
"140","Antelope11025B","Lepidium densiflorum","SP2Pellatz5.8",2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"141","Antelope11025B","Helianthus annuus","SP1Pellatz5.8",1,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"142","Antelope11025B","Festuca octoflora","SP1Pellatz5.8",1,2018-06-06,"3",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",2
"143","Antelope11025B","Elymus canadensis","SP2Pellatz5.8",2,2018-06-06,"5",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
