"","Field ID","Species","Visit ID","Q1","Q1FC","Q2","Q2FC","Q3","Q3FC","Q4","Q4FC","Q5","Q5FC","Q6","Q6FC","Q7","Q7FC","Q8","Q8FC","Q9","Q9FC","Q10","Q10FC","Transect","Date","Coefficient of Conservatism","Planted Date","Seed Vendor","Established"
"1","Antelope11001","Phleum pratense","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"2","Antelope11001","Bare Ground","SP1Fulton1.9",1,NA,3,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,1,2018-06-05,NA,2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"3","Antelope11001","Rudbeckia hirta","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"4","Antelope11001","Chamaecrista fasciculata","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"1",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"5","Antelope11001","Achillea millefolium","SP2Fulton1.9",3,NA,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2018-06-05,"2",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"6","Antelope11001","Litter","SP1Fulton1.9",5,NA,3,NA,2,NA,1,NA,6,NA,6,NA,6,NA,6,NA,1,NA,1,NA,1,2018-06-05,NA,2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"7","Antelope11001","Pascopyrum smithii","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"8","Antelope11001","Cirsium arvense","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"9","Antelope11001","Monarda fistulosa","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"10","Antelope11001","Festuca octoflora","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
