"","Field ID","Species","Visit ID","Q1","Q1FC","Q2","Q2FC","Q3","Q3FC","Q4","Q4FC","Q5","Q5FC","Q6","Q6FC","Q7","Q7FC","Q8","Q8FC","Q9","Q9FC","Q10","Q10FC","Transect","Date","Coefficient of Conservatism","Planted Date","Seed Vendor"
"1","Antelope11001","Phleum pratense","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002"
"2","Antelope11001","Bare Ground","SP1Fulton1.9",1,NA,3,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,1,2018-06-05,NA,2015-05-09,"The Seed House- same mix as Antelope11002"
"3","Antelope11001","Rudbeckia hirta","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002"
"4","Antelope11001","Chamaecrista fasciculata","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"1",2015-05-09,"The Seed House- same mix as Antelope11002"
"5","Antelope11001","Achillea millefolium","SP2Fulton1.9",3,NA,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2018-06-05,"2",2015-05-09,"The Seed House- same mix as Antelope11002"
"6","Antelope11001","Litter","SP1Fulton1.9",5,NA,3,NA,2,NA,1,NA,6,NA,6,NA,6,NA,6,NA,1,NA,1,NA,1,2018-06-05,NA,2015-05-09,"The Seed House- same mix as Antelope11002"
"7","Antelope11001","Pascopyrum smithii","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002"
"8","Antelope11001","Cirsium arvense","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002"
"9","Antelope11001","Monarda fistulosa","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002"
"10","Antelope11001","Festuca octoflora","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002"
"11","Antelope11001","Ulmus americana","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002"
"12","Antelope11001","Bromus inermis","SP2Fulton1.9",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6,NA,1,NA,2,NA,2,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002"
"13","Antelope11001","Plantago patagonica","SP1Fulton1.9",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"1",2015-05-09,"The Seed House- same mix as Antelope11002"
"14","Antelope11001","Koeleria macrantha","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2018-06-05,"6",2015-05-09,"The Seed House- same mix as Antelope11002"
"15","Antelope11001","Bare Ground","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,NA,2015-05-09,"The Seed House- same mix as Antelope11002"
"16","Antelope11001","Achillea millefolium","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"2",2015-05-09,"The Seed House- same mix as Antelope11002"
"17","Antelope11001","Andropogon gerardii","SP2Fulton1.9",NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2018-06-05,"5",2015-05-09,"The Seed House- same mix as Antelope11002"
"18","Antelope11001","Gaillardia sp.","SP2Fulton1.9",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,NA,2015-05-09,"The Seed House- same mix as Antelope11002"
"19","Antelope11001","Medicago sativa","SP2Fulton1.9",NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,2,NA,2,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002"
"20","Antelope11001","Bromus inermis","SP1Fulton1.9",1,NA,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002"
"21","Antelope11001","Schizachyrium scoparium","SP1Fulton1.9",3,NA,3,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,NA,1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002"
"22","Antelope11001","Phleum pratense","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,1,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002"
"23","Antelope11001","Litter","SP2Fulton1.9",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,2,2018-06-05,NA,2015-05-09,"The Seed House- same mix as Antelope11002"
"24","Antelope11001","Conyza canadensis","SP2Fulton1.9",NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002"
"25","Antelope11001","Ulmus pumila","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002"
"26","Antelope11001","Conyza canadensis","SP1Fulton1.9",2,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002"
"27","Antelope11001","Heliopsis helianthoides","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002"
"28","Antelope11001","Helianthus maximiliani","SP2Fulton1.9",NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002"
"29","Antelope11001","Andropogon gerardii","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2018-06-05,"5",2015-05-09,"The Seed House- same mix as Antelope11002"
"30","Antelope11001","Lepidium densiflorum","SP1Fulton1.9",NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002"
"31","Antelope11001","Schizachyrium scoparium","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002"
"32","Antelope11001","Pascopyrum smithii","SP1Fulton1.9",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002"
"33","Antelope11001","Securigera varia","SP1Fulton1.9",2,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002"
"34","Antelope11001","Rudbeckia hirta","SP1Fulton1.9",1,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002"
"35","Antelope11002","Litter","SP2Fulton",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,2,2018-06-05,NA,2015-05-09,"The Seed House"
"36","Antelope11002","Achillea millefolium","SP2Fulton",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2018-06-05,"2",2015-05-09,"The Seed House"
"37","Antelope11002","Trifolium pratense","SP2Fulton",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House"
"38","Antelope11002","Bare Ground","SP2Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,NA,2015-05-09,"The Seed House"
"39","Antelope11002","Phleum pratense","SP1Fulton",4,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"*",2015-05-09,"The Seed House"
"40","Antelope11002","Heliopsis helianthoides","SP2Fulton",1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2018-06-05,"4",2015-05-09,"The Seed House"
"41","Antelope11002","Bromus inermis","SP2Fulton",2,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2,NA,3,NA,6,NA,1,NA,2,2018-06-05,"*",2015-05-09,"The Seed House"
"42","Antelope11002","Medicago sativa","SP2Fulton",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House"
"43","Antelope11002","Bare Ground","SP1Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,NA,2015-05-09,"The Seed House"
"44","Antelope11002","Taraxacum officinale","SP2Fulton",1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House"
"45","Antelope11002","Litter","SP1Fulton",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,1,2018-06-05,NA,2015-05-09,"The Seed House"
"46","Antelope11002","Bromus inermis","SP1Fulton",NA,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,3,NA,2,NA,1,NA,4,NA,1,2018-06-05,"*",2015-05-09,"The Seed House"
"47","Antelope11002","Lactuca serriola","SP2Fulton",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House"
"48","Antelope11002","Helianthus maximiliani","SP2Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2018-06-05,"4",2015-05-09,"The Seed House"
"49","Antelope11002","Cirsium arvense","SP2Fulton",NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House"
"50","Antelope11002","Medicago sativa","SP1Fulton",2,NA,2,NA,2,NA,2,NA,3,NA,3,NA,4,NA,2,NA,5,NA,2,NA,1,2018-06-05,"*",2015-05-09,"The Seed House"
"51","Antelope11002","Achillea millefolium","SP1Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,2018-06-05,"2",2015-05-09,"The Seed House"
"52","Antelope11002","Cirsium arvense","SP1Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2018-06-05,"*",2015-05-09,"The Seed House"
"53","Antelope11005","Andropogon gerardii","SP1Knievel",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF"
"54","Antelope11005","Litter","SP1Knievel",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,5,NA,6,NA,1,2018-06-06,NA,2014-11-01,"Star Seed - Dealer - PF"
