FieldID,Region ,NumOfAcres,County,PlantedDate,PlantingSeason,Established,VisitNum,SpeciesNum,PLSAcre,PreCover,SeedVendor
Gage11054,SE,4.04,Gage,1/24/15,Winter,Success,2,41,1.909,Harvested crop stubble,StockSeed
Johnson110261,SE,1.1,Johnson,11/26/14,Fall,Success,2,15,1.275,Harvested crop stubble,Wagner
Johnson110262,SE,3.3,Johnson,11/26/14,Fall,Success,2,15,1.275,Harvested crop stubble,Wagner
Gage11060,SE,2.47,Gage,2/24/15,Winter,Success,2,41,2.386,Harvested soybean stubble,StockSeed
Gage11018,SE,1.6,Gage,2/24/15,Wnter,Success,2,41,2.386,Harvested soybean stubble,StockSeed
Harlan11012,SC,4.4,Harlan,5/4/15,Spring,Success,2,N/A,N/A,Harvested crop stubble,PrairiePlains 
Harlan11008,SC,1.2,Harlan,3/24/15,Spring,Failure,1,36,2.776,Harvested crop stubble,StarSeed
Harlan11007,SC,4.6,Harlan,3/24/15,Spring,Success,2,36,2.776,Harvested crop stubble,StarSeed
Webster11004,SC,8.3,Webster,4/23/15,Spring,Success,2,34,2.22,Harvested wheat stubble,StarSeed
Furnas11006,SC,6,Furnas,3/26/15,Spring,Success,2,38,2.796,Harvested corn stubble,StarSeed
Furnas11008,SC,14.84,Furnas,3/26/15,Spring,Success,2,38,2.796,Harvested crop stubble,StarSeed
Webster11006,SC,2.66,Webster,4/16/15,Spring,Failure,1,38,2.796,Harvested soybean stubble,StarSeed
Antelope11005,NE,4.6,Antelope,11/1/14,Fall,Success,1,44,1.784,Harvested corn stubble,StarSeed
Antelope11002,NE,3.1,Antelope,5/9/15,Spring,Failure,1,40,1.69,Harvested crop stubble,SeedHouse
Antelope11001,NE,1.9,Antelope,5/9/15,Spring,Failure,1,40,1.69,Harvested crop stubble,SeedHouse
Antelope11025A,NE,3.1,Antelope,5/31/15,Spring,Failure,1,43,1.57,Harvested soybean stubble,Kaup 
Antelope11025B,NE,5.8,Antelope,5/31/15,Spring,Failure,1,43,1.57,Harvested soybean stubble,Kaup 
