"","Quadrant","Cover Value","Family"
"1681","Q1FC",NA,"Grass"
"1682","Q1FC",NA,"Grass"
"1683","Q1FC",NA,"Grass"
"1684","Q1FC",NA,"Grass"
"1685","Q10FC",NA,"Grass"
"1686","Q10FC",NA,"Grass"
"1687","Q1FC",NA,"Grass"
"1688","Q1FC",NA,"Grass"
"1689","Q10FC",NA,"Grass"
"1690","Q10FC",NA,"Grass"
"1691","Q5FC",NA,"Grass"
"1692","Q5FC",NA,"Grass"
"1693","Q1FC",NA,"Grass"
"1694","Q1FC",NA,"Grass"
"1695","Q10FC",NA,"Grass"
"1696","Q10FC",NA,"Grass"
"1697","Q9FC",NA,"Grass"
"1698","Q9FC",NA,"Grass"
"1699","Q6FC",NA,"Grass"
"1700","Q6FC",NA,"Grass"
"1701","Q7FC",NA,"Grass"
"1702","Q7FC",NA,"Grass"
"1703","Q4FC",NA,"Grass"
"1704","Q4FC",NA,"Grass"
"1705","Q4FC",NA,"Grass"
"1706","Q4FC",NA,"Grass"
"1707","Q9FC",NA,"Grass"
"1708","Q9FC",NA,"Grass"
"1709","Q6FC",NA,"Grass"
"1710","Q6FC",NA,"Grass"
"1711","Q7FC",NA,"Grass"
"1712","Q7FC",NA,"Grass"
"1713","Q4FC",NA,"Grass"
"1714","Q4FC",NA,"Grass"
"1715","Q9FC",NA,"Grass"
"1716","Q9FC",NA,"Grass"
"1717","Q3FC",NA,"Grass"
"1718","Q3FC",NA,"Grass"
"1719","Q8FC",NA,"Grass"
"1720","Q8FC",NA,"Grass"
"1721","Q5FC",NA,"Grass"
"1722","Q5FC",NA,"Grass"
"1723","Q5FC",NA,"Grass"
"1724","Q5FC",NA,"Grass"
"1725","Q8FC",NA,"Grass"
"1726","Q8FC",NA,"Grass"
"1727","Q8FC",NA,"Grass"
"1728","Q8FC",NA,"Grass"
"1729","Q9FC",NA,"Grass"
"1730","Q9FC",NA,"Grass"
"1731","Q5FC",NA,"Grass"
"1732","Q5FC",NA,"Grass"
"1733","Q3FC",NA,"Grass"
"1734","Q3FC",NA,"Grass"
"1735","Q3FC",NA,"Grass"
"1736","Q3FC",NA,"Grass"
"1737","Q7FC",NA,"Grass"
"1738","Q7FC",NA,"Grass"
"1739","Q5FC",NA,"Grass"
"1740","Q5FC",NA,"Grass"
"1741","Q5FC",NA,"Grass"
"1742","Q5FC",NA,"Grass"
"1743","Q7FC",NA,"Grass"
"1744","Q7FC",NA,"Grass"
"1745","Q8FC",NA,"Grass"
"1746","Q8FC",NA,"Grass"
"1747","Q1FC",NA,"Grass"
"1748","Q1FC",NA,"Grass"
"1749","Q1FC",NA,"Grass"
"1750","Q1FC",NA,"Grass"
"1751","Q8FC",NA,"Grass"
"1752","Q8FC",NA,"Grass"
"1753","Q7FC",NA,"Grass"
"1754","Q7FC",NA,"Grass"
"1755","Q10FC",NA,"Grass"
"1756","Q10FC",NA,"Grass"
"1757","Q2FC",NA,"Grass"
"1758","Q2FC",NA,"Grass"
"1759","Q4FC",NA,"Grass"
"1760","Q4FC",NA,"Grass"
"1761","Q6FC",NA,"Grass"
"1762","Q6FC",NA,"Grass"
"1763","Q4FC",NA,"Grass"
"1764","Q4FC",NA,"Grass"
"1765","Q8FC",NA,"Grass"
"1766","Q8FC",NA,"Grass"
"1767","Q2FC",NA,"Grass"
"1768","Q2FC",NA,"Grass"
"1769","Q5FC",NA,"Grass"
"1770","Q5FC",NA,"Grass"
"1771","Q6FC",NA,"Grass"
"1772","Q6FC",NA,"Grass"
"1773","Q6FC",NA,"Grass"
"1774","Q6FC",NA,"Grass"
"1775","Q5FC",NA,"Grass"
"1776","Q5FC",NA,"Grass"
"1777","Q6FC",NA,"Grass"
"1778","Q6FC",NA,"Grass"
"1779","Q10FC",NA,"Grass"
"1780","Q10FC",NA,"Grass"
"1781","Q1FC",NA,"Grass"
"1782","Q1FC",NA,"Grass"
"1783","Q8FC",NA,"Grass"
"1784","Q8FC",NA,"Grass"
"1785","Q5FC",NA,"Grass"
"1786","Q5FC",NA,"Grass"
"1787","Q6FC",NA,"Grass"
"1788","Q6FC",NA,"Grass"
"1789","Q10FC",NA,"Grass"
"1790","Q10FC",NA,"Grass"
"1791","Q2FC",NA,"Grass"
"1792","Q2FC",NA,"Grass"
"1793","Q3FC",NA,"Grass"
"1794","Q3FC",NA,"Grass"
"1795","Q1FC",NA,"Grass"
"1796","Q1FC",NA,"Grass"
"1797","Q4FC",NA,"Grass"
"1798","Q4FC",NA,"Grass"
"1799","Q7FC",NA,"Grass"
"1800","Q7FC",NA,"Grass"
"1801","Q2FC",NA,"Grass"
"1802","Q2FC",NA,"Grass"
"1803","Q2FC",NA,"Grass"
"1804","Q2FC",NA,"Grass"
"1805","Q9FC",NA,"Grass"
"1806","Q9FC",NA,"Grass"
"1807","Q9FC",NA,"Grass"
"1808","Q9FC",NA,"Grass"
"1809","Q5FC",NA,"Grass"
"1810","Q5FC",NA,"Grass"
"1811","Q2FC",NA,"Grass"
"1812","Q2FC",NA,"Grass"
"1813","Q2FC",NA,"Grass"
"1814","Q2FC",NA,"Grass"
"1815","Q9FC",NA,"Grass"
"1816","Q9FC",NA,"Grass"
"1817","Q10FC",NA,"Grass"
"1818","Q10FC",NA,"Grass"
"1819","Q8FC",NA,"Grass"
"1820","Q8FC",NA,"Grass"
"1821","Q3FC",NA,"Grass"
"1822","Q3FC",NA,"Grass"
"1823","Q10FC",NA,"Grass"
"1824","Q10FC",NA,"Grass"
"1825","Q3FC",NA,"Grass"
"1826","Q3FC",NA,"Grass"
"1827","Q2FC",NA,"Grass"
"1828","Q2FC",NA,"Grass"
"1829","Q6FC",NA,"Grass"
"1830","Q6FC",NA,"Grass"
"1831","Q3FC",NA,"Grass"
"1832","Q3FC",NA,"Grass"
"1833","Q1FC",NA,"Grass"
"1834","Q1FC",NA,"Grass"
"1835","Q3FC",NA,"Grass"
"1836","Q3FC",NA,"Grass"
"1837","Q6FC",NA,"Grass"
"1838","Q6FC",NA,"Grass"
"1839","Q10FC",NA,"Grass"
"1840","Q10FC",NA,"Grass"
"1841","Q6FC",NA,"Grass"
"1842","Q6FC",NA,"Grass"
"1843","Q3FC",NA,"Grass"
"1844","Q3FC",NA,"Grass"
"1845","Q9FC",NA,"Grass"
"1846","Q9FC",NA,"Grass"
"1847","Q6FC",NA,"Grass"
"1848","Q6FC",NA,"Grass"
"1849","Q5FC",NA,"Grass"
"1850","Q5FC",NA,"Grass"
"1851","Q4FC",NA,"Grass"
"1852","Q4FC",NA,"Grass"
"1853","Q7FC",NA,"Grass"
"1854","Q7FC",NA,"Grass"
"1855","Q7FC",NA,"Grass"
"1856","Q7FC",NA,"Grass"
"1857","Q1FC",NA,"Grass"
"1858","Q1FC",NA,"Grass"
"1859","Q4FC",NA,"Grass"
"1860","Q4FC",NA,"Grass"
"1861","Q8FC",NA,"Grass"
"1862","Q8FC",NA,"Grass"
"1863","Q4FC",NA,"Grass"
"1864","Q4FC",NA,"Grass"
"1865","Q4FC",NA,"Grass"
"1866","Q4FC",NA,"Grass"
"1867","Q7FC",NA,"Grass"
"1868","Q7FC",NA,"Grass"
"1869","Q4FC",NA,"Grass"
"1870","Q4FC",NA,"Grass"
"1871","Q9FC",NA,"Grass"
"1872","Q9FC",NA,"Grass"
"1873","Q6FC",NA,"Grass"
"1874","Q6FC",NA,"Grass"
"1875","Q6FC",NA,"Grass"
"1876","Q6FC",NA,"Grass"
"1877","Q7FC",NA,"Grass"
"1878","Q7FC",NA,"Grass"
"1879","Q9FC",NA,"Grass"
"1880","Q9FC",NA,"Grass"
"1881","Q3FC",NA,"Grass"
"1882","Q3FC",NA,"Grass"
"1883","Q8FC",NA,"Grass"
"1884","Q8FC",NA,"Grass"
"1885","Q4FC",NA,"Grass"
"1886","Q4FC",NA,"Grass"
"1887","Q3FC",NA,"Grass"
"1888","Q3FC",NA,"Grass"
"1889","Q10FC",NA,"Grass"
"1890","Q10FC",NA,"Grass"
"1891","Q5FC",NA,"Grass"
"1892","Q5FC",NA,"Grass"
"1893","Q7FC",NA,"Grass"
"1894","Q7FC",NA,"Grass"
"1895","Q2FC",NA,"Grass"
"1896","Q2FC",NA,"Grass"
"1897","Q8FC",NA,"Grass"
"1898","Q8FC",NA,"Grass"
"1899","Q3FC",NA,"Grass"
"1900","Q3FC",NA,"Grass"
"1901","Q10FC",NA,"Grass"
"1902","Q10FC",NA,"Grass"
"1903","Q2FC",NA,"Grass"
"1904","Q2FC",NA,"Grass"
"1905","Q9FC",NA,"Grass"
"1906","Q9FC",NA,"Grass"
