"","Quadrant","Cover Value","Family"
"1681","Q1",2,"Grass"
"1682","Q1",2,"Grass"
"1683","Q1",2,"Grass"
"1684","Q1",2,"Grass"
"1685","Q10",NA,"Grass"
"1686","Q10",NA,"Grass"
"1687","Q1",4,"Grass"
"1688","Q1",4,"Grass"
"1689","Q10",NA,"Grass"
"1690","Q10",NA,"Grass"
"1691","Q5",5,"Grass"
"1692","Q5",5,"Grass"
"1693","Q1",NA,"Grass"
"1694","Q1",NA,"Grass"
"1695","Q10",NA,"Grass"
"1696","Q10",NA,"Grass"
"1697","Q9",4,"Grass"
"1698","Q9",4,"Grass"
"1699","Q6",2,"Grass"
"1700","Q6",2,"Grass"
"1701","Q7",3,"Grass"
"1702","Q7",3,"Grass"
"1703","Q4",NA,"Grass"
"1704","Q4",NA,"Grass"
"1705","Q4",NA,"Grass"
"1706","Q4",NA,"Grass"
"1707","Q9",NA,"Grass"
"1708","Q9",NA,"Grass"
"1709","Q6",NA,"Grass"
"1710","Q6",NA,"Grass"
"1711","Q7",NA,"Grass"
"1712","Q7",NA,"Grass"
"1713","Q4",NA,"Grass"
"1714","Q4",NA,"Grass"
"1715","Q9",NA,"Grass"
"1716","Q9",NA,"Grass"
"1717","Q3",NA,"Grass"
"1718","Q3",NA,"Grass"
"1719","Q8",1,"Grass"
"1720","Q8",1,"Grass"
"1721","Q5",4,"Grass"
"1722","Q5",4,"Grass"
"1723","Q5",NA,"Grass"
"1724","Q5",NA,"Grass"
"1725","Q8",NA,"Grass"
"1726","Q8",NA,"Grass"
"1727","Q8",2,"Grass"
"1728","Q8",2,"Grass"
"1729","Q9",NA,"Grass"
"1730","Q9",NA,"Grass"
"1731","Q5",1,"Grass"
"1732","Q5",1,"Grass"
"1733","Q3",NA,"Grass"
"1734","Q3",NA,"Grass"
"1735","Q3",4,"Grass"
"1736","Q3",4,"Grass"
"1737","Q7",NA,"Grass"
"1738","Q7",NA,"Grass"
"1739","Q5",4,"Grass"
"1740","Q5",4,"Grass"
"1741","Q5",NA,"Grass"
"1742","Q5",NA,"Grass"
"1743","Q7",NA,"Grass"
"1744","Q7",NA,"Grass"
"1745","Q8",NA,"Grass"
"1746","Q8",NA,"Grass"
"1747","Q1",NA,"Grass"
"1748","Q1",NA,"Grass"
"1749","Q1",NA,"Grass"
"1750","Q1",NA,"Grass"
"1751","Q8",4,"Grass"
"1752","Q8",4,"Grass"
"1753","Q7",NA,"Grass"
"1754","Q7",NA,"Grass"
"1755","Q10",1,"Grass"
"1756","Q10",1,"Grass"
"1757","Q2",NA,"Grass"
"1758","Q2",NA,"Grass"
"1759","Q4",2,"Grass"
"1760","Q4",2,"Grass"
"1761","Q6",NA,"Grass"
"1762","Q6",NA,"Grass"
"1763","Q4",NA,"Grass"
"1764","Q4",NA,"Grass"
"1765","Q8",NA,"Grass"
"1766","Q8",NA,"Grass"
"1767","Q2",NA,"Grass"
"1768","Q2",NA,"Grass"
"1769","Q5",NA,"Grass"
"1770","Q5",NA,"Grass"
"1771","Q6",1,"Grass"
"1772","Q6",1,"Grass"
"1773","Q6",NA,"Grass"
"1774","Q6",NA,"Grass"
"1775","Q5",2,"Grass"
"1776","Q5",2,"Grass"
"1777","Q6",3,"Grass"
"1778","Q6",3,"Grass"
"1779","Q10",NA,"Grass"
"1780","Q10",NA,"Grass"
"1781","Q1",NA,"Grass"
"1782","Q1",NA,"Grass"
"1783","Q8",2,"Grass"
"1784","Q8",2,"Grass"
"1785","Q5",NA,"Grass"
"1786","Q5",NA,"Grass"
"1787","Q6",NA,"Grass"
"1788","Q6",NA,"Grass"
"1789","Q10",NA,"Grass"
"1790","Q10",NA,"Grass"
"1791","Q2",NA,"Grass"
"1792","Q2",NA,"Grass"
"1793","Q3",NA,"Grass"
"1794","Q3",NA,"Grass"
"1795","Q1",NA,"Grass"
"1796","Q1",NA,"Grass"
"1797","Q4",NA,"Grass"
"1798","Q4",NA,"Grass"
"1799","Q7",4,"Grass"
"1800","Q7",4,"Grass"
"1801","Q2",4,"Grass"
"1802","Q2",4,"Grass"
"1803","Q2",4,"Grass"
"1804","Q2",4,"Grass"
"1805","Q9",NA,"Grass"
"1806","Q9",NA,"Grass"
"1807","Q9",3,"Grass"
"1808","Q9",3,"Grass"
"1809","Q5",NA,"Grass"
"1810","Q5",NA,"Grass"
"1811","Q2",NA,"Grass"
"1812","Q2",NA,"Grass"
"1813","Q2",NA,"Grass"
"1814","Q2",NA,"Grass"
"1815","Q9",NA,"Grass"
"1816","Q9",NA,"Grass"
"1817","Q10",NA,"Grass"
"1818","Q10",NA,"Grass"
"1819","Q8",NA,"Grass"
"1820","Q8",NA,"Grass"
"1821","Q3",NA,"Grass"
"1822","Q3",NA,"Grass"
"1823","Q10",NA,"Grass"
"1824","Q10",NA,"Grass"
"1825","Q3",1,"Grass"
"1826","Q3",1,"Grass"
"1827","Q2",NA,"Grass"
"1828","Q2",NA,"Grass"
"1829","Q6",NA,"Grass"
"1830","Q6",NA,"Grass"
"1831","Q3",2,"Grass"
"1832","Q3",2,"Grass"
"1833","Q1",2,"Grass"
"1834","Q1",2,"Grass"
"1835","Q3",NA,"Grass"
"1836","Q3",NA,"Grass"
"1837","Q6",NA,"Grass"
"1838","Q6",NA,"Grass"
"1839","Q10",NA,"Grass"
"1840","Q10",NA,"Grass"
"1841","Q6",NA,"Grass"
"1842","Q6",NA,"Grass"
"1843","Q3",NA,"Grass"
"1844","Q3",NA,"Grass"
"1845","Q9",4,"Grass"
"1846","Q9",4,"Grass"
"1847","Q6",1,"Grass"
"1848","Q6",1,"Grass"
"1849","Q5",NA,"Grass"
"1850","Q5",NA,"Grass"
"1851","Q4",NA,"Grass"
"1852","Q4",NA,"Grass"
