FieldID,Species,VisitID,Transect,VisitDate,CoEOfConsvm,PlantedDate,SeedVendor,Quadrat,CoverValue
Antelope11001,Rudbeckia hirta,SP2Fulton1.9,2,6/5/18,4,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Chamaecrista fasciculata,SP2Fulton1.9,2,6/5/18,1,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Achillea millefolium,SP2Fulton1.9,2,6/5/18,2,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Pascopyrum smithii,SP2Fulton1.9,2,6/5/18,3,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Monarda fistulosa,SP1Fulton1.9,1,6/5/18,4,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Festuca octoflora,SP1Fulton1.9,1,6/5/18,3,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Ulmus americana,SP2Fulton1.9,2,6/5/18,3,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Plantago patagonica,SP1Fulton1.9,1,6/5/18,1,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Koeleria macrantha,SP1Fulton1.9,1,6/5/18,6,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Achillea millefolium,SP1Fulton1.9,1,6/5/18,2,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Andropogon gerardii,SP2Fulton1.9,2,6/5/18,5,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Schizachyrium scoparium,SP1Fulton1.9,1,6/5/18,4,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Conyza canadensis,SP2Fulton1.9,2,6/5/18,0,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Conyza canadensis,SP1Fulton1.9,1,6/5/18,0,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Heliopsis helianthoides,SP1Fulton1.9,1,6/5/18,4,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Helianthus maximiliani,SP2Fulton1.9,2,6/5/18,4,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Andropogon gerardii,SP1Fulton1.9,1,6/5/18,5,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Lepidium densiflorum,SP1Fulton1.9,1,6/5/18,0,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Schizachyrium scoparium,SP2Fulton1.9,2,6/5/18,4,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Pascopyrum smithii,SP1Fulton1.9,1,6/5/18,3,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11001,Rudbeckia hirta,SP1Fulton1.9,1,6/5/18,4,5/9/15,The Seed House- same mix as Antelope11002,Q1FC,NA
Antelope11002,Achillea millefolium,SP2Fulton,2,6/5/18,2,5/9/15,The Seed House,Q1FC,NA
Antelope11002,Heliopsis helianthoides,SP2Fulton,2,6/5/18,4,5/9/15,The Seed House,Q1FC,NA
Antelope11002,Helianthus maximiliani,SP2Fulton,2,6/5/18,4,5/9/15,The Seed House,Q1FC,NA
Antelope11002,Achillea millefolium,SP1Fulton,1,6/5/18,2,5/9/15,The Seed House,Q1FC,NA
Antelope11005,Andropogon gerardii,SP1Knievel,1,6/6/18,5,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Lepidium densiflorum,SP1Knievel,1,6/6/18,0,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Achillea millefolium,SP1Knievel,1,6/6/18,2,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Conyza canadensis,SP1Knievel,1,6/6/18,0,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Achillea millefolium,SP2Knievel,2,6/6/18,2,11/1/14,Star Seed - Dealer - PF,Q1FC,1
Antelope11005,Eragrostis trichodes,SP1Knievel,1,6/6/18,5,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Lespedeza capitata,SP2Knievel,2,6/6/18,5,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Ratibida pinnata,SP1Knievel,1,6/6/18,4,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Potentilla arguta,SP1Knievel,1,6/6/18,6,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Ambrosia trifida,SP2Knievel,2,6/6/18,0,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Oenothera biennis,SP2Knievel,2,6/6/18,1,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Rudbeckia hirta,SP2Knievel,2,6/6/18,4,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Cynanchum laeve,SP2Knievel,2,6/6/18,0,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Ambrosia trifida,SP1Knievel,1,6/6/18,0,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Schizachyrium scoparium,SP2Knievel,2,6/6/18,4,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Sorghastrum nutans,SP2Knievel,2,6/6/18,5,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Elymus canadensis,SP1Knievel,1,6/6/18,5,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Oxalis stricta,SP1Knievel,1,6/6/18,0,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Oxalis stricta,SP2Knievel,2,6/6/18,0,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Schizachyrium scoparium,SP1Knievel,1,6/6/18,4,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Pascopyrum smithii,SP1Knievel,1,6/6/18,3,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Oenothera rhombipetala,SP1Knievel,1,6/6/18,2,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Chloris verticillata,SP2Knievel,2,6/6/18,0,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Rudbeckia hirta,SP1Knievel,1,6/6/18,4,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Sorghastrum nutans,SP1Knievel,1,6/6/18,5,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
Antelope11005,Carex brevior,SP1Knievel,1,6/6/18,4,11/1/14,Star Seed - Dealer - PF,Q1FC,NA
