Species	Coefficient of Conservatism	Common Name	Genius	Family	Order
Chenopodium album	*	lamb's-quarters	Chenopodium	Amaranthaceae	Caryophyllales
Froelichia floridana	4	field snake-cotton	Froelichia	Amaranthaceae	Caryophyllales
Kochia scoparia	*	kochia	Kochia	Amaranthaceae	Caryophyllales
Salsola tragus	*	prickly Russian-thistle	Salsola	Amaranthaceae	Caryophyllales
Toxicodendron radicans	2	eastern poison ivy	Toxicodendron	Anacardiaceae	Sapindales
Eryngium yuccifolium	8	button-snakeroot	Eryngium	Apiaceae	Apiales
Zizia aurea	6	golden alexanders	Zizia	Apiaceae	Apiales
Asclepias sullivantii	7	smooth milkweed	Asclepias	Apocynaceae	Gentianales
Asclepias syriaca	1	common milkweed	Asclepias	Apocynaceae	Gentianales
Asclepias tuberosa	6	butterfly milkweed	Asclepias	Apocynaceae	Gentianales
Cynanchum laeve	0	honey vine	Cynanchum	Apocynaceae	Gentianales
Asparagus officinalis	*	garden asparagus	Asparagus	Asparagaceae	Asparagales
Achillea millefolium	2	western yarrow	Achillea	Asteraceae	Asterales
Ambrosia artemisiifolia	0	common ragweed	Ambrosia	Asteraceae	Asterales
Ambrosia psilostachya	1	western ragweed	Ambrosia	Asteraceae	Asterales
Ambrosia trifida	0	giant ragweed	Ambrosia	Asteraceae	Asterales
Antennaria neglecta	3	field pussytoes	Antennaria	Asteraceae	Asterales
Artemisia frigida	4	fringed sage	Artemisia	Asteraceae	Asterales
Artemisia ludoviciana	4	white sage	Artemisia	Asteraceae	Asterales
Brickellia eupatorioides	4	false-boneset	Brickellia	Asteraceae	Asterales
Carduus nutans	*	musk thistle	Carduus	Asteraceae	Asterales
Cirsium altissimum	1	tall thistle	Cirsium	Asteraceae	Asterales
Cirsium arvense	*	Canada thistle	Cirsium	Asteraceae	Asterales
Cirsium vulgare	*	bull thistle	Cirsium	Asteraceae	Asterales
Conyza canadensis	0	horseweed	Conyza	Asteraceae	Asterales
Coreopsis lanceolata	*	lance-leaf coreopsis	Coreopsis 	Asteraceae	Asterales
Coreopsis tinctoria	1	plains coreopsis	Coreopsis 	Asteraceae	Asterales
Echinacea angustifolia	5	narrow-leaf purple coneflower	Echinacea	Asteraceae	Asterales
Echinacea pallida	7	pale purple coneflower	Echinacea	Asteraceae	Asterales
Echinacea purpurea	*	eastern purple coneflower	Echinacea	Asteraceae	Asterales
Erigeron annuus	1	eastern fleabane	Erigeron	Asteraceae	Asterales
Erigeron strigosus	2	daisy fleabane	Erigeron	Asteraceae	Asterales
Eupatorium altissimum	3	tall boneset	Eupatorium	Asteraceae	Asterales
Eupatorium perfoliatum	5	clasping-leaf boneset	Eupatorium	Asteraceae	Asterales
Gaillardia aristata	*	blanketflower	Gaillardia	Asteraceae	Asterales
Grindelia squarrosa	1	curly-top gumweed	Grindelia	Asteraceae	Asterales
Helianthus annuus	0	common sunflower	Helianthus	Asteraceae	Asterales
Helianthus grosseserratus	4	sawtooth sunflower	Helianthus	Asteraceae	Asterales
Helianthus maximiliani	4	Maximilian's sunflower	Helianthus	Asteraceae	Asterales
Helianthus mollis	6	ashy sunflower	Helianthus	Asteraceae	Asterales
Helianthus pauciflorus	5	stiff sunflower	Helianthus	Asteraceae	Asterales
Helianthus petiolaris	1	plains sunflower	Helianthus	Asteraceae	Asterales
Heliopsis helianthoides	4	false-sunflower	Heliopsis	Asteraceae	Asterales
Heterotheca subaxillaris	2	camphor-weed	Heterotheca	Asteraceae	Asterales
Lactuca ludoviciana	3	western wild lettuce	Lactuca 	Asteraceae	Asterales
Lactuca serriola	*	prickly lettuce	Lactuca 	Asteraceae	Asterales
Liatris aspera	6	rough gayfeather	Liatris	Asteraceae	Asterales
Liatris pycnostachya	7	thick-spike gayfeather	Liatris	Asteraceae	Asterales
Liatris spicata	*	dense blazing star	Liatris	Asteraceae	Asterales
Liatris squarrosa	5	plains gayfeather	Liatris	Asteraceae	ASterales
Packera plattensis	5	prairie ragwort	Packera	Asteraceae	Asterales
Pseudognaphalium obtusifolium	3	fragrant cudweed	Pseudognaphalium	Asteraceae	Asterales
Ratibida columnifera	4	upright prairie-coneflower	Ratibida	Asteraceae	Asterales
Ratibida pinnata	4	gray-head prairie-coneflower	Ratibida	Asteraceae	Asterales
Rudbeckia hirta	4	black-eyed Susan	Rudbeckia	Asteraceae	Asterales
Silphium integrifolium	4	rosinweed	Silphium	Asteraceae	Asterales
Silphium laciniatum	5	compass-plant	Silphium	Asteraceae	Asterales
Silphium perfoliatum	4	cup-plant	Silphium	Asteraceae	Asterales
Solidago canadensis	2	Canada goldenrod	Solidago	Asteraceae	Asterales
Solidago gigantea	3	late goldenrod	Solidago	Asteraceae	Asterales
Solidago missouriensis	5	Missouri goldenrod	Solidago	Asteraceae	Asterales
Solidago rigida	3	stiff goldenrod	Solidago	Asteraceae	Asterales
Symphyotrichum ericoides	3	heath aster	Symphyotrichum	Asteraceae	Asterales
Symphyotrichum laeve	5	smooth blue aster	Symphyotrichum	Asteraceae	Asterales
Symphyotrichum novae-angliae	4	New England aster	Symphyotrichum	Asteraceae	Asterales
Symphyotrichum oblongifolium	5	aromatic aster	Symphyotrichum	Asteraceae	Asterales
Symphyotrichum sericea	7	silky aster	Symphyotrichum	Asteraceae	Asterales
Taraxacum officinale	*	common dandelion	Taraxacum	Asteraceae	Asterales
Tragopogon dubius	*	yellow goat's-beard	Tragopogon	Asteraceae	Asterales
Vernonia baldwinii	3	western ironweed	Vernonia	Asteraceae	Asterales
Xanthisma spinulosum	4	cutleaf ironplant	Xanthisma	Asteraceae	Asterales
Alliaria petiolata	*	garlic mustard	Alliaria	Brassicaceae	Brassicales
Capsella bursa-pastoris	*	shepherd's-purse	Capsella	Brassicaceae	Brassicales
Descurainia pinnata	0	pinnata tansy mustard	Descurainia	Brassicaceae	Brassicales
Erysimum asperum	4	western wallflower	Erysimum	Brassicaceae	Brassicales
Lepidium densiflorum	0	prairie pepper-grass	Lepidium	Brassicaceae	Brassicales
Sisymbrium altissimum	*	tumble-mustard	Sisymbrium	Brassicaceae	Brassicales
Thlaspi arvense	*	field penny cress	Thlaspi	Brassicaceae	Brassicales
Campanula americana	4	tall bellflower	Campanula	Campanulaceae	Asterales
Triodanis leptocarpa	3	slim-pod Venus'-looking-glass	Triodanis	Campanulaceae	Asterales
Triodanis perfoliata	2	clasping-leaf Venus'-looking-glass	Triodanis	Campanulaceae	Asterales
Cannabis sativa	*	hemp	Cannabis	Cannabaceae	Rosales
Lonicera japonica	*	Japanese honeysuckle	Lonicera	Caprifoliaceae	Dipsacales
Symphoricarpos occidentalis	2	wolfberry	Symphoricarpos	Caprifoliaceae	Dipsacales
Silene antirrhina	2	sleepy catchfly	Silene	Caryophyllaceae	Caryophyllales
Tradescantia occidentalis	5	western spiderwort	Tradescantia	Commelinaceae	Commelinales
Tradescantia ohiensis	4	Ohio spiderwort	Tradescantia	Commelinaceae	Commelinales
Calystegia sepium	1	common hedge bindweed	Calystegia	Convolvulaceae	Solanales
Convolvulus arvensis	*	field bindweed	Convolvulus	Convolvulaceae	Solanales
Juniperus virginiana	1	eastern red-cedar	Juniperus	Cupressaceae	Pinales
Carex brevior	4	short-beak sedge	Carex	Cyperaceae	Poales
Cyperus schwinitzii	4	sand flatsedge	Cyperus	Cyperaceae	Poales
Euphorbia dentata	0	eastern toothed spurge	Euphorbia	Euphorbiaceae	Malpighiales
